libdbus-1-dev	amd64	1.12.20-2ubuntu4.1
libdc1394-25	amd64	2.2.6-4
libdc1394-dev	amd64	2.2.6-4
libdconf1	amd64	0.40.0-3ubuntu0.1
libde265-0	amd64	1.0.8-1ubuntu0.3
libde265-dev	amd64	1.0.8-1ubuntu0.3
libdebconfclient0	amd64	0.261ubuntu1
libdecor-0-0	amd64	0.1.0-3build1
libdecor-0-dev	amd64	0.1.0-3build1
libdeflate-dev	amd64	1.10-2
libdeflate0	amd64	1.10-2
libdevmapper1.02.1	amd64	2:1.02.175-2.1ubuntu5
libdouble-conversion-dev	amd64	3.1.7-4
libdouble-conversion3	amd64	3.1.7-4
libdpkg-perl	all	1.21.1ubuntu2.6
libdraco-dev	amd64	1.5.2+dfsg-2
libdraco4	amd64	1.5.2+dfsg-2
libdrm-amdgpu1	amd64	2.4.113-2~ubuntu0.22.04.1
libdrm-common	all	2.4.113-2~ubuntu0.22.04.1
libdrm-dev	amd64	2.4.113-2~ubuntu0.22.04.1
libdrm-intel1	amd64	2.4.113-2~ubuntu0.22.04.1
libdrm-nouveau2	amd64	2.4.113-2~ubuntu0.22.04.1
libdrm-radeon1	amd64	2.4.113-2~ubuntu0.22.04.1
libdrm2	amd64	2.4.113-2~ubuntu0.22.04.1
libdw1	amd64	0.186-1ubuntu0.1
libedit2	amd64	3.1-20210910-1build1
libegl-dev	amd64	1.4.0-1
libegl-mesa0	amd64	23.2.1-1ubuntu3.1~22.04.4
libegl1	amd64	1.4.0-1
libegl1-mesa-dev	amd64	23.2.1-1ubuntu3.1~22.04.4
libeigen3-dev	all	3.4.0-2ubuntu2
libelf1	amd64	0.186-1ubuntu0.1
libepoxy0	amd64	1.5.10-1
liberror-perl	all	0.17029-1
libevdev2	amd64	1.12.1+dfsg-1
libevent-2.1-7	amd64	2.1.12-stable-1build3
libevent-core-2.1-7	amd64	2.1.12-stable-1build3
libevent-dev	amd64	2.1.12-stable-1build3
libevent-extra-2.1-7	amd64	2.1.12-stable-1build3
libevent-openssl-2.1-7	amd64	2.1.12-stable-1build3
libevent-pthreads-2.1-7	amd64	2.1.12-stable-1build3
libexif-dev	amd64	0.6.24-1ubuntu0.22.04.1
libexif12	amd64	0.6.24-1ubuntu0.22.04.1
